DFIRM_ID,FIRM_PAN,PANEL,ST_FIPS,PCOMM,EFF_DATE,PRE_DATE,PANEL_TYP,eff_date,pre_date,county_fips
01003C,01003C1100M,1100,01,003C,1555632000000.0,253392451200000.0,"Countywide, Not Printed",2019-04-19,9999-09-09,12003
01003C,01003C1082M,1082,01,003C,1555632000000.0,253392451200000.0,"Countywide, Not Printed",2019-04-19,9999-09-09,12003
01003C,01003C0969M,0969,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0968M,0968,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0964M,0964,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0963M,0963,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0944M,0944,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0987M,0987,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0986M,0986,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0967M,0967,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0966M,0966,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0962M,0962,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0961M,0961,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0942M,0942,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0959M,0959,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0958M,0958,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0954M,0954,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0953M,0953,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0934M,0934,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C1000M,1000,01,003C,1555632000000.0,253392451200000.0,"Countywide, Not Printed",2019-04-19,9999-09-09,12003
01003C,01003C0960M,0960,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0955M,0955,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0932M,0932,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0870M,0870,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0865M,0865,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0842M,0842,01,003C,1555632000000.0,253392451200000.0,"Countywide, Not Printed",2019-04-19,9999-09-09,12003
01003C,01003C0837M,0837,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0860M,0860,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0855M,0855,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0835M,0835,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0830M,0830,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0810M,0810,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0745M,0745,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0740M,0740,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0720M,0720,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0715M,0715,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0735M,0735,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0730M,0730,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0710M,0710,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0705M,0705,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0685M,0685,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0590M,0590,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0567M,0567,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0625M,0625,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0600M,0600,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0560M,0560,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0475M,0475,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
